RIC,Date,Name,ISIN Code,TRBC Industry Group Name
ACKB.BR,2024-12-31,ACKERMANS V.HAAR ORD,BE0003764785,Construction & Engineering
SYENS.BR,2024-12-31,SYENSQO ORD SHS,BE0974464977,Chemicals
ARGX.BR,2024-12-31,ARGEN X NV,NL0010832176,Biotechnology & Medical Research
ELI.BR,2024-12-31,ELIA SYSTEM OPERATOR ORD,BE0003822393,Electric Utilities & IPPs
WDPP.BR,2024-12-31,WDP-SICAFI REIT,BE0974349814,Residential & Commercial REITs
AOO.BR,2024-12-31,AEDIFICA SA,BE0003851681,Residential & Commercial REITs
MLXS.BR,2024-12-31,MELEXIS ORD,BE0165385973,Semiconductors & Semiconductor Equipment
GBLB.BR,2024-12-31,GROUPE BRUXELLES LAMBERT ORD,BE0003797140,Investment Holding Companies
AGES.BR,2024-12-31,AGEAS(EX-FORTIS) ORD,BE0974264930,Insurance
IETB.BR,2024-12-31,D'IETEREN ORD,BE0974259880,Specialty Retailers
COFB.BR,2024-12-31,COFINIMMO,BE0003593044,Residential & Commercial REITs
GLPG.AS,2024-12-31,GALAPAGOS ORD,BE0003818359,Biotechnology & Medical Research
UMI.BR,2024-12-31,UMICORE ORD,BE0974320526,Chemicals
AZE.BR,2024-12-31,AZELIS CORPORATE SERVICES NV ORD,BE0974400328,Diversified Industrial Goods Wholesale
LOTB.BR,2024-12-31,LOTUS BAKERIES ORD,BE0003604155,Food & Tobacco
ABI.BR,2024-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD,BE0974293251,Beverages
SOF.BR,2024-12-31,SOFINA ORD,BE0003717312,Investment Holding Companies
KBC.BR,2024-12-31,KBC GROEP ORD,BE0003565737,Banking Services
UCB.BR,2024-12-31,UCB ORD,BE0003739530,Pharmaceuticals
GMAB.CO,2019-12-31,GENMAB ORD,DK0010272202,Biotechnology & Medical Research
MAERSKb.CO,2019-12-31,MOELLER MAERSK B ORD,DK0010244508,Freight & Logistics Services
SIM.CO^J23,2019-12-31,SIMCORP ORD,DK0060495240,Financial Technology (Fintech) & Infrastructure
VWS.CO,2019-12-31,VESTAS WIND SYSTEMS ORD,DK0061539921,Renewable Energy
NSISb.CO,2019-12-31,NOVOZYMES ORD,DK0060336014,Chemicals
RBREW.CO,2019-12-31,ROYAL UNIBREW ORD,DK0060634707,Beverages
NOVOb.CO,2019-12-31,NOVO-NORDISK ORD,DK0062498333,Pharmaceuticals
ORSTED.CO,2019-12-31,ORSTED ORD,DK0060094928,Electric Utilities & IPPs
DANSKE.CO,2019-12-31,DANSKE BANK ORD,DK0010274414,Banking Services
CHRH.CO^A24,2019-12-31,CHRISTIAN HANSEN HOLDING ORD,DK0060227585,Food & Tobacco
GN.CO,2019-12-31,GN STORE NORD ORD,DK0010272632,"Computers, Phones & Household Electronics"
DEMANT.CO,2019-12-31,DEMANT ORD,DK0060738599,Healthcare Equipment & Supplies
AMBUb.CO,2019-12-31,AMBU ORD,DK0060946788,Healthcare Equipment & Supplies
ISS.CO,2019-12-31,ISS A/S,DK0060542181,Professional & Commercial Services
TRYG.CO,2019-12-31,TRYGVESTA ORD,DK0060636678,Insurance
LUN.CO^F22,2019-12-31,H.LUNDBECK ORD,DK0010287234,Pharmaceuticals
DSV.CO,2019-12-31,DSV PANALPINA ORD,DK0060079531,Freight & Logistics Services
CARLb.CO,2019-12-31,CARLSBERG ORD,DK0010181759,Beverages
PNDORA.CO,2019-12-31,PANDORA ORD,DK0060252690,Textiles & Apparel
COLOb.CO,2019-12-31,COLOPLAST ORD,DK0060448595,Healthcare Equipment & Supplies
GMAB.CO,2020-12-31,GENMAB ORD,DK0010272202,Biotechnology & Medical Research
MAERSKb.CO,2020-12-31,MOELLER MAERSK B ORD,DK0010244508,Freight & Logistics Services
SIM.CO^J23,2020-12-31,SIMCORP ORD,DK0060495240,Financial Technology (Fintech) & Infrastructure
VWS.CO,2020-12-31,VESTAS WIND SYSTEMS ORD,DK0061539921,Renewable Energy
NSISb.CO,2020-12-31,NOVOZYMES ORD,DK0060336014,Chemicals
RBREW.CO,2020-12-31,ROYAL UNIBREW ORD,DK0060634707,Beverages
NOVOb.CO,2020-12-31,NOVO-NORDISK ORD,DK0062498333,Pharmaceuticals
ORSTED.CO,2020-12-31,ORSTED ORD,DK0060094928,Electric Utilities & IPPs
DANSKE.CO,2020-12-31,DANSKE BANK ORD,DK0010274414,Banking Services
CHRH.CO^A24,2020-12-31,CHRISTIAN HANSEN HOLDING ORD,DK0060227585,Food & Tobacco
GN.CO,2020-12-31,GN STORE NORD ORD,DK0010272632,"Computers, Phones & Household Electronics"
DEMANT.CO,2020-12-31,DEMANT ORD,DK0060738599,Healthcare Equipment & Supplies
AMBUb.CO,2020-12-31,AMBU ORD,DK0060946788,Healthcare Equipment & Supplies
