Instrument,Constituent RIC,Constituent Name,Date,Index
.OMXC20,NOVOb.CO,NOVO-NORDISK ORD,2021-12-31,.OMXC20 
.OMXC20,NETCG.CO,NETCOMPANY A/S ORD,2021-12-31,.OMXC20 
.OMXC20,ORSTED.CO,ORSTED ORD,2021-12-31,.OMXC20 
.OMXC20,DANSKE.CO,DANSKE BANK ORD,2021-12-31,.OMXC20 
.OMXC20,CHRH.CO^A24,CHRISTIAN HANSEN HOLDING ORD,2021-12-31,.OMXC20 
.OMXC20,GN.CO,GN STORE NORD ORD,2021-12-31,.OMXC20 
.OMXC20,DEMANT.CO,DEMANT ORD,2021-12-31,.OMXC20 
.OMXC20,AMBUb.CO,AMBU ORD,2021-12-31,.OMXC20 
.OMXC20,ROCKb.CO,ROCKWOOL INTL SR A ORD,2021-12-31,.OMXC20 
.OMXC20,TRYG.CO,TRYGVESTA ORD,2021-12-31,.OMXC20 
.OMXC20,DSV.CO,DSV AS ORD,2021-12-31,.OMXC20 
.OMXC20,CARLb.CO,CARLSBERG ORD,2021-12-31,.OMXC20 
.OMXC20,PNDORA.CO,PANDORA ORD,2021-12-31,.OMXC20 
.OMXC20,COLOb.CO,COLOPLAST ORD,2021-12-31,.OMXC20 
.OMXC20,MAERSKa.CO,MOELLER MAERSK ORD,2022-12-31,.OMXC20 
.OMXC20,GMAB.CO,GENMAB ORD,2022-12-31,.OMXC20 
.OMXC20,MAERSKb.CO,MOELLER MAERSK B ORD,2022-12-31,.OMXC20 
.OMXC20,BAVA.CO,BAVARIAN NORDIC ORD,2022-12-31,.OMXC20 
.OMXC20,VWS.CO,VESTAS WIND SYSTEMS ORD,2022-12-31,.OMXC20 
.OMXC20,NSISb.CO,NOVOZYMES ORD,2022-12-31,.OMXC20 
.OMXC20,JYSK.CO,JYSKE BANK ORD,2022-12-31,.OMXC20 
.OMXC20,RBREW.CO,ROYAL UNIBREW ORD,2022-12-31,.OMXC20 
.OMXC20,NOVOb.CO,NOVO-NORDISK ORD,2022-12-31,.OMXC20 
.OMXC20,ORSTED.CO,ORSTED ORD,2022-12-31,.OMXC20 
.OMXC20,DANSKE.CO,DANSKE BANK ORD,2022-12-31,.OMXC20 
.OMXC20,CHRH.CO^A24,CHRISTIAN HANSEN HOLDING ORD,2022-12-31,.OMXC20 
.OMXC20,GN.CO,GN STORE NORD ORD,2022-12-31,.OMXC20 
.OMXC20,DEMANT.CO,DEMANT ORD,2022-12-31,.OMXC20 
.OMXC20,AMBUb.CO,AMBU ORD,2022-12-31,.OMXC20 
.OMXC20,TRYG.CO,TRYGVESTA ORD,2022-12-31,.OMXC20 
.OMXC20,DSV.CO,DSV AS ORD,2022-12-31,.OMXC20 
.OMXC20,CARLb.CO,CARLSBERG ORD,2022-12-31,.OMXC20 
.OMXC20,PNDORA.CO,PANDORA ORD,2022-12-31,.OMXC20 
.OMXC20,COLOb.CO,COLOPLAST ORD,2022-12-31,.OMXC20 
.OMXC20,MAERSKa.CO,MOELLER MAERSK ORD,2023-12-31,.OMXC20 
.OMXC20,GMAB.CO,GENMAB ORD,2023-12-31,.OMXC20 
.OMXC20,MAERSKb.CO,MOELLER MAERSK B ORD,2023-12-31,.OMXC20 
.OMXC20,VWS.CO,VESTAS WIND SYSTEMS ORD,2023-12-31,.OMXC20 
.OMXC20,NSISb.CO,NOVOZYMES ORD,2023-12-31,.OMXC20 
.OMXC20,JYSK.CO,JYSKE BANK ORD,2023-12-31,.OMXC20 
.OMXC20,NOVOb.CO,NOVO-NORDISK ORD,2023-12-31,.OMXC20 
.OMXC20,ORSTED.CO,ORSTED ORD,2023-12-31,.OMXC20 
.OMXC20,DANSKE.CO,DANSKE BANK ORD,2023-12-31,.OMXC20 
.OMXC20,CHRH.CO^A24,CHRISTIAN HANSEN HOLDING ORD,2023-12-31,.OMXC20 
.OMXC20,GN.CO,GN STORE NORD ORD,2023-12-31,.OMXC20 
.OMXC20,DEMANT.CO,DEMANT ORD,2023-12-31,.OMXC20 
.OMXC20,AMBUb.CO,AMBU ORD,2023-12-31,.OMXC20 
.OMXC20,ISS.CO,ISS A/S,2023-12-31,.OMXC20 
.OMXC20,ROCKb.CO,ROCKWOOL AS ORD,2023-12-31,.OMXC20 
.OMXC20,TRYG.CO,TRYGVESTA ORD,2023-12-31,.OMXC20 
.OMXC20,DSV.CO,DSV AS ORD,2023-12-31,.OMXC20 
.OMXC20,CARLb.CO,CARLSBERG ORD,2023-12-31,.OMXC20 
.OMXC20,PNDORA.CO,PANDORA ORD,2023-12-31,.OMXC20 
.OMXC20,COLOb.CO,COLOPLAST ORD,2023-12-31,.OMXC20 
.OMXC20,MAERSKa.CO,MOELLER MAERSK A ORD,2024-12-31,.OMXC20 
.OMXC20,GMAB.CO,GENMAB ORD,2024-12-31,.OMXC20 
.OMXC20,NKT.CO,NKT ORD,2024-12-31,.OMXC20 
.OMXC20,MAERSKb.CO,MOELLER MAERSK B ORD,2024-12-31,.OMXC20 
.OMXC20,VWS.CO,VESTAS WIND SYSTEMS ORD,2024-12-31,.OMXC20 
.OMXC20,NSISb.CO,NOVONESIS AS ORD,2024-12-31,.OMXC20 
.OMXC20,JYSK.CO,JYSKE BANK ORD,2024-12-31,.OMXC20 
.OMXC20,NOVOb.CO,NOVO-NORDISK ORD,2024-12-31,.OMXC20 
.OMXC20,ORSTED.CO,ORSTED ORD,2024-12-31,.OMXC20 
.OMXC20,DANSKE.CO,DANSKE BANK ORD,2024-12-31,.OMXC20 
.OMXC20,DEMANT.CO,DEMANT ORD,2024-12-31,.OMXC20 
.OMXC20,ZELA.CO,ZEALAND PHARMA ORD,2024-12-31,.OMXC20 
.OMXC20,AMBUb.CO,AMBU ORD,2024-12-31,.OMXC20 
.OMXC20,ISS.CO,ISS A/S,2024-12-31,.OMXC20 
.OMXC20,ROCKb.CO,ROCKWOOL AS ORD,2024-12-31,.OMXC20 
.OMXC20,TRYG.CO,TRYGVESTA ORD,2024-12-31,.OMXC20 
.OMXC20,DSV.CO,DSV AS ORD,2024-12-31,.OMXC20 
.OMXC20,CARLb.CO,CARLSBERG ORD,2024-12-31,.OMXC20 
.OMXC20,PNDORA.CO,PANDORA ORD,2024-12-31,.OMXC20 
.OMXC20,COLOb.CO,COLOPLAST ORD,2024-12-31,.OMXC20 
.OMXH25,OUT1V.HE,OUTOKUMPU OYJ ORD,2019-12-31,.OMXH25
.OMXH25,TYRES.HE,NOKIAN TYRES PLC ORD,2019-12-31,.OMXH25
.OMXH25,VALMT.HE,VALMET CORP,2019-12-31,.OMXH25
.OMXH25,METSB.HE,M-REAL ORD,2019-12-31,.OMXH25
.OMXH25,KNEBV.HE,KONE ORD,2019-12-31,.OMXH25
.OMXH25,HIAB.HE,CARGOTEC ORD,2019-12-31,.OMXH25
.OMXH25,TELIA1.HE,TELIA CO AB ORD,2019-12-31,.OMXH25
.OMXH25,KEMIRA.HE,KEMIRA OYJ ORD,2019-12-31,.OMXH25
.OMXH25,ORNBV.HE,ORION ORD,2019-12-31,.OMXH25
.OMXH25,NESTE.HE,NESTE OYJ ORD,2019-12-31,.OMXH25
.OMXH25,METSO.HE,OUTOTEC OYJ ORD,2019-12-31,.OMXH25
.OMXH25,STERV.HE,STORA ENSO R ORD,2019-12-31,.OMXH25
.OMXH25,SAMPO.HE,SAMPO PLC ORD,2019-12-31,.OMXH25
.OMXH25,NOKIA.HE,NOKIA ORD,2019-12-31,.OMXH25
.OMXH25,FORTUM.HE,FORTUM ORD,2019-12-31,.OMXH25
.OMXH25,WRT1V.HE,WARTSILA ORD,2019-12-31,.OMXH25
.OMXH25,NELES.HE^D22,METSO ORD,2019-12-31,.OMXH25
.OMXH25,NDAFI.HE,NORDEA BANK ABP ORD,2019-12-31,.OMXH25
.OMXH25,ELISA.HE,ELISA ORD,2019-12-31,.OMXH25
.OMXH25,UPM.HE,UPM-KYMMENE OY ORD,2019-12-31,.OMXH25
.OMXH25,TIETO.HE,TIETOENATOR ORD,2019-12-31,.OMXH25
.OMXH25,KCRA.HE,KONECRANES OYJ ORD,2019-12-31,.OMXH25
.OMXH25,HUH1V.HE,HUHTAMAKI SR I ORD,2019-12-31,.OMXH25
.OMXH25,KESKOB.HE,KESKO ORD,2019-12-31,.OMXH25
.OMXH25,OUT1V.HE,OUTOKUMPU OYJ ORD,2020-12-31,.OMXH25
.OMXH25,TYRES.HE,NOKIAN TYRES PLC ORD,2020-12-31,.OMXH25
.OMXH25,VALMT.HE,VALMET CORP,2020-12-31,.OMXH25
.OMXH25,METSB.HE,M-REAL ORD,2020-12-31,.OMXH25
.OMXH25,KNEBV.HE,KONE ORD,2020-12-31,.OMXH25
.OMXH25,HIAB.HE,CARGOTEC ORD,2020-12-31,.OMXH25
.OMXH25,TELIA1.HE,TELIA CO AB ORD,2020-12-31,.OMXH25
.OMXH25,KEMIRA.HE,KEMIRA OYJ ORD,2020-12-31,.OMXH25
.OMXH25,KOJAMO.HE,KOJAMO OYJ ORD,2020-12-31,.OMXH25
.OMXH25,ORNBV.HE,ORION ORD,2020-12-31,.OMXH25
.OMXH25,NESTE.HE,NESTE OYJ ORD,2020-12-31,.OMXH25
.OMXH25,METSO.HE,METSO OUTOTEC CORPORATION ORD,2020-12-31,.OMXH25
.OMXH25,STERV.HE,STORA ENSO R ORD,2020-12-31,.OMXH25
.OMXH25,SAMPO.HE,SAMPO PLC ORD,2020-12-31,.OMXH25
.OMXH25,NOKIA.HE,NOKIA ORD,2020-12-31,.OMXH25
.OMXH25,FORTUM.HE,FORTUM ORD,2020-12-31,.OMXH25
.OMXH25,WRT1V.HE,WARTSILA ORD,2020-12-31,.OMXH25
.OMXH25,NELES.HE^D22,NELES CORPORATION ORD,2020-12-31,.OMXH25
.OMXH25,NDAFI.HE,NORDEA BANK ABP ORD,2020-12-31,.OMXH25
.OMXH25,ELISA.HE,ELISA ORD,2020-12-31,.OMXH25
.OMXH25,UPM.HE,UPM-KYMMENE OY ORD,2020-12-31,.OMXH25
.OMXH25,TIETO.HE,TIETOENATOR ORD,2020-12-31,.OMXH25
.OMXH25,KCRA.HE,KONECRANES OYJ ORD,2020-12-31,.OMXH25
