,RIC,ISIN Code,TRBC Industry Group Name
200,VLLP.PA,FR0013506730,Oil & Gas Related Equipment and Services
201,UBIP.PA,FR0000054470,Software & IT Services
202,EDF.PA^F23,FR0010242511,Multiline Utilities
203,SEBF.PA,FR0000121709,Household Goods
204,MERY.PA,FR0010241638,Residential & Commercial REITs
205,CASP.PA,FR001400OKR3,Food & Drug Retailing
206,SPIE.PA,FR0012757854,Construction & Engineering
207,PEUP.PA^A21,FR0000121501,Automobiles & Auto Parts
208,GTT.PA,FR0011726835,Oil & Gas Related Equipment and Services
209,FOUG.PA,FR0000130452,Construction & Engineering
210,VLOF.PA,FR0013176526,Automobiles & Auto Parts
211,ICAD.PA,FR0000035081,Residential & Commercial REITs
212,SESFd.PA,LU0088087324,Telecommunications Services
213,ERMT.PA,FR0000131757,Metals & Mining
214,MMTP.PA,FR0000053225,Media & Publishing
215,LVMH.PA,FR0000121014,Textiles & Apparel
216,GNFT.PA,FR0004163111,Biotechnology & Medical Research
217,SCHN.PA,FR0000121972,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
218,ISOS.PA,FR0000073298,Media & Publishing
219,CAGR.PA,FR0000045072,Banking Services
220,SOGN.PA,FR0000130809,Banking Services
221,BIOX.PA,FR0013280286,Healthcare Equipment & Supplies
222,NEXI.PA,FR0010112524,Real Estate Operations
223,LEGD.PA,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
224,DBV.PA,FR0010417345,Pharmaceuticals
225,SGOB.PA,FR0000125007,Homebuilding & Construction Supplies
226,ELIS.PA,FR0012435121,Professional & Commercial Services
227,FRVIA.PA,FR0000121147,Automobiles & Auto Parts
228,IMTP.PA,FR0000120859,Metals & Mining
229,SOPR.PA,FR0000050809,Software & IT Services
230,SOLB.BR,BE0003470755,Chemicals
231,CARR.PA,FR0000120172,Food & Drug Retailing
232,CNAT.PA^G21,FR0000120685,Investment Banking & Investment Services
233,ILD.PA^J21,FR0004035913,Telecommunications Services
234,TTEF.PA,FR0000120271,Oil & Gas
235,GETP.PA,FR0010533075,Transport Infrastructure
236,RUBF.PA,FR0013269123,Oil & Gas
237,JCDX.PA,FR0000077919,Media & Publishing
238,ETL.PA,FR0010221234,Telecommunications Services
239,RENA.PA,FR0000131906,Automobiles & Auto Parts
240,PUBP.PA,FR0000130577,Media & Publishing
241,CLARI.PA,FR0010386334,Healthcare Providers & Services
242,MDM.PA,FR0013153541,Specialty Retailers
243,LOIM.PA,FR0000121964,Residential & Commercial REITs
244,ADP.PA,FR0010340141,Transport Infrastructure
245,SCOR.PA,FR0010411983,Insurance
246,VCTP.PA,FR0000031775,Construction Materials
247,CNPP.PA^F22,FR0000120222,Insurance
248,VIRB.PA,FR0000031577,Pharmaceuticals
249,TEPRF.PA,FR0000051807,Professional & Commercial Services
250,VIE.PA,FR0000124141,Multiline Utilities
251,VRLA.PA,FR0013447729,Containers & Packaging
252,OREP.PA,FR0000120321,Personal & Household Products & Services
253,ALSO.PA,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
254,PERP.PA,FR0000120693,Beverages
255,OPM.PA,FR0000124570,Automobiles & Auto Parts
256,LAGA.PA,FR0000130213,Media & Publishing
257,EURA.PA,FR0000121121,Investment Banking & Investment Services
258,STMPA.PA,NL0000226223,Semiconductors & Semiconductor Equipment
259,WLN.PA,FR0011981968,Financial Technology (Fintech) & Infrastructure
260,TCFP.PA,FR0000121329,Aerospace & Defense
261,FTI.PA^B22,GB00BDSFG982,Oil & Gas Related Equipment and Services
262,VIRI.PA,FR001400PVN6,Oil & Gas Related Equipment and Services
263,EUCAR.PA^G22,FR0012789949,Passenger Transportation Services
264,AKE.PA,FR0010313833,Chemicals
265,CAPP.PA,FR0000125338,Software & IT Services
266,TRIA.PA,FR0005691656,Leisure Products
