RIC,Date,Name
TYRES.HE,2021-12-31,NOKIAN TYRES PLC ORD
VALMT.HE,2021-12-31,VALMET CORP
METSB.HE,2021-12-31,M-REAL ORD
KNEBV.HE,2021-12-31,KONE ORD
HIAB.HE,2021-12-31,CARGOTEC ORD
TELIA1.HE,2021-12-31,TELIA CO AB ORD
KEMIRA.HE,2021-12-31,KEMIRA OYJ ORD
KOJAMO.HE,2021-12-31,KOJAMO OYJ ORD
ORNBV.HE,2021-12-31,ORION ORD
NESTE.HE,2021-12-31,NESTE OYJ ORD
METSO.HE,2021-12-31,METSO OUTOTEC CORPORATION ORD
QTCOM.HE,2021-12-31,QT GROUP ORD
STERV.HE,2021-12-31,STORA ENSO R ORD
SAMPO.HE,2021-12-31,SAMPO PLC ORD
NOKIA.HE,2021-12-31,NOKIA ORD
FORTUM.HE,2021-12-31,FORTUM ORD
WRT1V.HE,2021-12-31,WARTSILA ORD
NDAFI.HE,2021-12-31,NORDEA BANK ABP ORD
ELISA.HE,2021-12-31,ELISA ORD
UPM.HE,2021-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2021-12-31,TIETOENATOR ORD
KCRA.HE,2021-12-31,KONECRANES OYJ ORD
HUH1V.HE,2021-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2021-12-31,KESKO ORD
OUT1V.HE,2022-12-31,OUTOKUMPU OYJ ORD
TYRES.HE,2022-12-31,NOKIAN TYRES PLC ORD
TOKMAN.HE,2022-12-31,TOKMANNI GROUP CORPORATION ORD SHS
VALMT.HE,2022-12-31,VALMET CORP
KNEBV.HE,2022-12-31,KONE ORD
HIAB.HE,2022-12-31,CARGOTEC ORD
TELIA1.HE,2022-12-31,TELIA CO AB ORD
KOJAMO.HE,2022-12-31,KOJAMO OYJ ORD
ORNBV.HE,2022-12-31,ORION ORD
NESTE.HE,2022-12-31,NESTE OYJ ORD
METSO.HE,2022-12-31,METSO OUTOTEC CORPORATION ORD
QTCOM.HE,2022-12-31,QT GROUP ORD
STERV.HE,2022-12-31,STORA ENSO R ORD
SAMPO.HE,2022-12-31,SAMPO PLC ORD
NOKIA.HE,2022-12-31,NOKIA ORD
FORTUM.HE,2022-12-31,FORTUM ORD
WRT1V.HE,2022-12-31,WARTSILA ORD
NDAFI.HE,2022-12-31,NORDEA BANK ABP ORD
ELISA.HE,2022-12-31,ELISA ORD
UPM.HE,2022-12-31,UPM-KYMMENE OY ORD
TIETO.HE,2022-12-31,TIETOENATOR ORD
SSABBH.HE,2022-12-31,SSAB ORD
KCRA.HE,2022-12-31,KONECRANES OYJ ORD
HUH1V.HE,2022-12-31,HUHTAMAKI SR I ORD
KESKOB.HE,2022-12-31,KESKO ORD
